date value parameter land_use
2012-1-10 0.45 theta_EHD loc3
2012-1-10 225 sw_EHD loc3
2012-1-10 0.449923 theta_soil loc3
2012-1-10 0 dsc loc3
2012-1-11 0 infil2 loc1
2012-1-11 0 infil loc1
2012-1-11 0 toDistribute loc1
2012-1-11 0 dailySurplus loc1
2012-1-11 7.88835 availablePoreDepth loc1
2012-1-11 111.111 EHD loc1
2012-1-11 2140.45 SD loc1
2012-1-11 -2.25156 G loc1
2012-1-11 0.379005 theta_EHD loc1
2012-1-11 42.1116 sw_EHD loc1
2012-1-11 0.276005 theta_soil loc1
2012-1-11 0 dsc loc1
2012-1-11 0 infil2 loc2
2012-1-11 0 infil loc2
2012-1-11 0 toDistribute loc2
2012-1-11 0 dailySurplus loc2
2012-1-11 33.3276 availablePoreDepth loc2
2012-1-11 250 EHD loc2
2012-1-11 3570.01 SD loc2
2012-1-11 -3.82001 G loc2
2012-1-11 0.36669 theta_EHD loc2
2012-1-11 91.6724 sw_EHD loc2
2012-1-11 0.344243 theta_soil loc2
2012-1-11 0 dsc loc2
2012-1-11 0 infil2 loc3
2012-1-11 0 infil loc3
2012-1-11 0 toDistribute loc3
2012-1-11 0 dailySurplus loc3
2012-1-11 225 availablePoreDepth loc3
2012-1-11 500 EHD loc3
2012-1-11 3583.13 SD loc3
2012-1-11 -4.08313 G loc3
2012-1-11 0.45 theta_EHD loc3
2012-1-11 225 sw_EHD loc3
2012-1-11 0.449914 theta_soil loc3
2012-1-11 0 dsc loc3
2012-1-12 0 infil2 loc1
2012-1-12 0 infil loc1
2012-1-12 0 toDistribute loc1
2012-1-12 0 dailySurplus loc1
2012-1-12 7.88835 availablePoreDepth loc1
2012-1-12 111.111 EHD loc1
2012-1-12 2140.4 SD loc1
2012-1-12 -2.25151 G loc1
2012-1-12 0.379005 theta_EHD loc1
2012-1-12 42.1116 sw_EHD loc1
2012-1-12 0.276011 theta_soil loc1
2012-1-12 0 dsc loc1
2012-1-12 0 infil2 loc2
2012-1-12 0 infil loc2
2012-1-12 0 toDistribute loc2
2012-1-12 0 dailySurplus loc2
2012-1-12 33.3276 availablePoreDepth loc2
2012-1-12 250 EHD loc2
2012-1-12 3569.87 SD loc2
2012-1-12 -3.81987 G loc2
2012-1-12 0.36669 theta_EHD loc2
2012-1-12 91.6724 sw_EHD loc2
2012-1-12 0.344256 theta_soil loc2
2012-1-12 0 dsc loc2
2012-1-12 0 infil2 loc3
2012-1-12 0 infil loc3
2012-1-12 0 toDistribute loc3
2012-1-12 0 dailySurplus loc3
2012-1-12 225 availablePoreDepth loc3
2012-1-12 500 EHD loc3
2012-1-12 3583.21 SD loc3
2012-1-12 -4.08321 G loc3
2012-1-12 0.45 theta_EHD loc3
2012-1-12 225 sw_EHD loc3
2012-1-12 0.449904 theta_soil loc3
2012-1-12 0 dsc loc3
2012-1-13 0 infil2 loc1
2012-1-13 0 infil loc1
2012-1-13 0 toDistribute loc1
2012-1-13 0 dailySurplus loc1
2012-1-13 7.88835 availablePoreDepth loc1
2012-1-13 111.111 EHD loc1
2012-1-13 2140.35 SD loc1
2012-1-13 -2.25146 G loc1
2012-1-13 0.379005 theta_EHD loc1
2012-1-13 42.1116 sw_EHD loc1
2012-1-13 0.276017 theta_soil loc1
2012-1-13 0 dsc loc1
2012-1-13 0 infil2 loc2
2012-1-13 0 infil loc2
2012-1-13 0 toDistribute loc2
2012-1-13 0 dailySurplus loc2
2012-1-13 33.3276 availablePoreDepth loc2
2012-1-13 250 EHD loc2
2012-1-13 3569.73 SD loc2
2012-1-13 -3.81973 G loc2
2012-1-13 0.36669 theta_EHD loc2
2012-1-13 91.6724 sw_EHD loc2
2012-1-13 0.344269 theta_soil loc2
2012-1-13 0 dsc loc2
2012-1-13 0 infil2 loc3
2012-1-13 0 infil loc3
2012-1-13 0 toDistribute loc3
2012-1-13 0 dailySurplus loc3
2012-1-13 225 availablePoreDepth loc3
2012-1-13 500 EHD loc3
2012-1-13 3583.28 SD loc3
2012-1-13 -4.08328 G loc3
2012-1-13 0.45 theta_EHD loc3
2012-1-13 225 sw_EHD loc3
2012-1-13 0.449895 theta_soil loc3
2012-1-13 0 dsc loc3
2012-1-14 0 infil2 loc1
2012-1-14 0 infil loc1
2012-1-14 0 toDistribute loc1
2012-1-14 0.0616645 dailySurplus loc1
2012-1-14 7.88835 availablePoreDepth loc1
2012-1-14 111.111 EHD loc1
2012-1-14 2140.31 SD loc1
2012-1-14 -2.25142 G loc1
2012-1-14 0.379005 theta_EHD loc1
2012-1-14 42.1116 sw_EHD loc1
2012-1-14 0.276023 theta_soil loc1
2012-1-14 0.0616645 dsc loc1
2012-1-14 0 infil2 loc2
2012-1-14 0 infil loc2
2012-1-14 0 toDistribute loc2
2012-1-14 0 dailySurplus loc2
2012-1-14 36.0437 availablePoreDepth loc2
2012-1-14 250 EHD loc2
2012-1-14 3569.6 SD loc2
2012-1-14 -3.8196 G loc2
2012-1-14 0.355825 theta_EHD loc2
2012-1-14 88.9563 sw_EHD loc2
2012-1-14 0.344282 theta_soil loc2
2012-1-14 0 dsc loc2
2012-1-14 0 infil2 loc3
2012-1-14 0 infil loc3
2012-1-14 0 toDistribute loc3
2012-1-14 0.0616645 dailySurplus loc3
2012-1-14 225 availablePoreDepth loc3
2012-1-14 500 EHD loc3
2012-1-14 3583.36 SD loc3
2012-1-14 -4.08336 G loc3
2012-1-14 0.45 theta_EHD loc3
2012-1-14 225 sw_EHD loc3
2012-1-14 0.449885 theta_soil loc3
2012-1-14 0.0616645 dsc loc3
2012-1-15 0 infil2 loc1
2012-1-15 0 infil loc1
2012-1-15 0 toDistribute loc1
