date Q_m3d source
2012-5-4 14994 drain
2012-5-4 194387 overland
2012-5-4 27.5518 stream
2012-5-4 0 lake
2012-5-5 20168.9 drain
2012-5-5 225794 overland
2012-5-5 27.5718 stream
2012-5-5 0 lake
2012-5-6 29262.4 drain
2012-5-6 250004 overland
2012-5-6 27.5916 stream
2012-5-6 0 lake
2012-5-7 22499.8 drain
2012-5-7 218965 overland
2012-5-7 27.6113 stream
2012-5-7 0 lake
2012-5-8 16602.7 drain
2012-5-8 215896 overland
2012-5-8 27.6309 stream
2012-5-8 0 lake
2012-5-9 16308.3 drain
2012-5-9 202748 overland
2012-5-9 27.6502 stream
2012-5-9 0 lake
2012-5-10 36416.7 drain
2012-5-10 455424 overland
2012-5-10 27.6693 stream
2012-5-10 0 lake
2012-5-11 23233.2 drain
2012-5-11 257078 overland
2012-5-11 27.6883 stream
2012-5-11 0 lake
2012-5-12 47833.3 drain
2012-5-12 516458 overland
2012-5-12 27.7072 stream
2012-5-12 0 lake
2012-5-13 53882.5 drain
2012-5-13 533131 overland
2012-5-13 27.7259 stream
2012-5-13 0 lake
2012-5-14 22068.9 drain
2012-5-14 224302 overland
2012-5-14 27.7446 stream
2012-5-14 0 lake
2012-5-15 31354 drain
2012-5-15 262081 overland
2012-5-15 27.7629 stream
2012-5-15 0 lake
2012-5-16 22843.1 drain
2012-5-16 223955 overland
2012-5-16 27.7811 stream
2012-5-16 0 lake
2012-5-17 20794 drain
2012-5-17 213086 overland
2012-5-17 27.7992 stream
2012-5-17 0 lake
2012-5-18 29428 drain
2012-5-18 271354 overland
2012-5-18 27.817 stream
2012-5-18 0 lake
2012-5-19 22519.3 drain
2012-5-19 230796 overland
2012-5-19 27.8347 stream
2012-5-19 0 lake
2012-5-20 19612.2 drain
2012-5-20 228462 overland
2012-5-20 27.8523 stream
2012-5-20 0 lake
2012-5-21 36604.3 drain
2012-5-21 397088 overland
2012-5-21 27.8697 stream
2012-5-21 0 lake
2012-5-22 21111.9 drain
2012-5-22 223763 overland
2012-5-22 27.8871 stream
2012-5-22 0 lake
2012-5-23 20432.1 drain
2012-5-23 242170 overland
2012-5-23 27.9041 stream
2012-5-23 0 lake
2012-5-24 19925.9 drain
2012-5-24 257780 overland
2012-5-24 27.921 stream
2012-5-24 0 lake
2012-5-25 19499.3 drain
2012-5-25 262979 overland
2012-5-25 27.9377 stream
2012-5-25 0 lake
2012-5-26 19111.2 drain
2012-5-26 255918 overland
2012-5-26 27.9543 stream
2012-5-26 0 lake
2012-5-27 18855.5 drain
2012-5-27 254367 overland
2012-5-27 27.9708 stream
2012-5-27 0 lake
2012-5-28 18694.8 drain
2012-5-28 253406 overland
2012-5-28 27.9872 stream
2012-5-28 0 lake
2012-5-29 18614.1 drain
2012-5-29 267702 overland
2012-5-29 28.0033 stream
2012-5-29 0 lake
2012-5-30 18631.8 drain
2012-5-30 270446 overland
2012-5-30 28.0194 stream
2012-5-30 0 lake
2012-5-31 18635.6 drain
2012-5-31 271699 overland
2012-5-31 28.0354 stream
2012-5-31 0 lake
2012-6-1 18703 drain
2012-6-1 287845 overland
2012-6-1 28.0511 stream
2012-6-1 0 lake
2012-6-2 20048.8 drain
2012-6-2 296920 overland
2012-6-2 28.0669 stream
2012-6-2 0 lake
2012-6-3 19236.1 drain
2012-6-3 331638 overland
2012-6-3 28.0825 stream
2012-6-3 0 lake
2012-6-4 23709.3 drain
2012-6-4 357217 overland
2012-6-4 28.0979 stream
