date	q_ls
02.07.2014	2.1
03.07.2014	1.5
04.07.2014	1.4
05.07.2014	1.4
06.07.2014	1.8
07.07.2014	7.6
08.07.2014	3.9
09.07.2014	1.9
10.07.2014	1.4
11.07.2014	1.7
12.07.2014	2.1
13.07.2014	2.3
14.07.2014	5.7
15.07.2014	2.7
16.07.2014	2.5
17.07.2014	2.4
18.07.2014	3.3
19.07.2014	2.3
20.07.2014	2.1
21.07.2014	2.1
22.07.2014	2
23.07.2014	2.1
24.07.2014	2.3
25.07.2014	2.3
26.07.2014	2.1
27.07.2014	30.8
28.07.2014	6.7
29.07.2014	3.7
30.07.2014	3.3
31.07.2014	3.1
01.08.2014	3
02.08.2014	4.6
03.08.2014	25.4
04.08.2014	22
05.08.2014	9.3
06.08.2014	6.6
07.08.2014	5.8
08.08.2014	5.4
09.08.2014	5.9
10.08.2014	7.9
11.08.2014	21
12.08.2014	123
13.08.2014	53.9
14.08.2014	86.5
15.08.2014	35.1
16.08.2014	17.6
17.08.2014	14.1
18.08.2014	11.7
19.08.2014	10.5
20.08.2014	9.1
21.08.2014	10.5
22.08.2014	9.9
23.08.2014	30.8
24.08.2014	29.8
25.08.2014	19
26.08.2014	15.4
27.08.2014	11.1
28.08.2014	9.2
29.08.2014	8.5
30.08.2014	8.3
31.08.2014	8.7
01.09.2014	7.5
02.09.2014	7
03.09.2014	6.6
04.09.2014	6.4
05.09.2014	6.4
06.09.2014	6.3
07.09.2014	6.1
08.09.2014	16.1
09.09.2014	44.5
10.09.2014	20.5
11.09.2014	13.4
12.09.2014	10.9
13.09.2014	9.6
14.09.2014	8.6
15.09.2014	8
16.09.2014	7.7
17.09.2014	7.6
18.09.2014	7.3
19.09.2014	7.2
20.09.2014	7.1
21.09.2014	10.1
22.09.2014	7.2
23.09.2014	6.9
24.09.2014	7.1
25.09.2014	9.2
26.09.2014	6.2
27.09.2014	5.4
28.09.2014	5.1
29.09.2014	5
30.09.2014	4.9
01.10.2014	5
02.10.2014	14.9
03.10.2014	8.1
04.10.2014	18.4
05.10.2014	14.6
06.10.2014	10.6
07.10.2014	14.8
08.10.2014	241
09.10.2014	361
10.10.2014	1205
11.10.2014	435
12.10.2014	1782
13.10.2014	708
14.10.2014	162
15.10.2014	104
16.10.2014	154
17.10.2014	555
18.10.2014	762
19.10.2014	681
20.10.2014	259
21.10.2014	173
22.10.2014	221
23.10.2014	726
24.10.2014	974
25.10.2014	732
26.10.2014	241
27.10.2014	151
28.10.2014	117
29.10.2014	400
30.10.2014	162
31.10.2014	131
01.11.2014	335
02.11.2014	420
03.11.2014	781
04.11.2014	665
05.11.2014	211
06.11.2014	142
07.11.2014	112
08.11.2014	131
09.11.2014	258
10.11.2014	281
11.11.2014	322
12.11.2014	162
13.11.2014	273
14.11.2014	496
15.11.2014	208
16.11.2014	155
17.11.2014	128
18.11.2014	111
19.11.2014	100
20.11.2014	95.3
21.11.2014	99.5
22.11.2014	89.2
23.11.2014	151
24.11.2014	829
25.11.2014	221
26.11.2014	134
27.11.2014	102
28.11.2014	85
29.11.2014	77.6
30.11.2014	71.7
01.12.2014	66
02.12.2014	62.1
03.12.2014	51.7
04.12.2014	45.7
05.12.2014	57
06.12.2014	52.7
07.12.2014	286
08.12.2014	169
09.12.2014	95.7
10.12.2014	689
11.12.2014	214
12.12.2014	139
13.12.2014	103
14.12.2014	87.1
15.12.2014	197
16.12.2014	114
17.12.2014	82.1
18.12.2014	70.8
19.12.2014	63.4
