date Q_m3d source
2012-3-22 8565.48 drain
2012-3-22 21764.7 overland
2012-3-22 2.52486 stream
2012-3-22 0 lake
2012-3-23 8513.52 drain
2012-3-23 21299.5 overland
2012-3-23 2.56648 stream
2012-3-23 0 lake
2012-3-24 8494.51 drain
2012-3-24 25661.4 overland
2012-3-24 2.51334 stream
2012-3-24 0 lake
2012-3-25 8412.82 drain
2012-3-25 20227.6 overland
2012-3-25 2.71629 stream
2012-3-25 0 lake
2012-3-26 8410.14 drain
2012-3-26 21034.9 overland
2012-3-26 2.54095 stream
2012-3-26 0 lake
2012-3-27 8394.36 drain
2012-3-27 22363.5 overland
2012-3-27 2.736 stream
2012-3-27 0 lake
2012-3-28 8364.72 drain
2012-3-28 20987.8 overland
2012-3-28 2.50933 stream
2012-3-28 0 lake
2012-3-29 8372.55 drain
2012-3-29 21435.4 overland
2012-3-29 2.68948 stream
2012-3-29 0 lake
2012-3-30 8339.89 drain
2012-3-30 20581.6 overland
2012-3-30 2.57122 stream
2012-3-30 0 lake
2012-3-31 8320.82 drain
2012-3-31 21155.9 overland
2012-3-31 2.65444 stream
2012-3-31 0 lake
2012-4-1 8317.82 drain
2012-4-1 21653.3 overland
2012-4-1 2.6134 stream
2012-4-1 0 lake
2012-4-2 8362.14 drain
2012-4-2 19618.1 overland
2012-4-2 2.61135 stream
2012-4-2 0 lake
2012-4-3 8301.42 drain
2012-4-3 20218 overland
2012-4-3 2.66788 stream
2012-4-3 0 lake
2012-4-4 8283.02 drain
2012-4-4 66793.3 overland
2012-4-4 2.69165 stream
2012-4-4 0 lake
2012-4-5 8237.05 drain
2012-4-5 38287.6 overland
2012-4-5 2.731 stream
2012-4-5 0 lake
2012-4-6 8237.2 drain
2012-4-6 876.535 overland
2012-4-6 2.61716 stream
2012-4-6 0 lake
2012-4-7 8206.74 drain
2012-4-7 890.505 overland
2012-4-7 2.69969 stream
2012-4-7 0 lake
2012-4-8 8188.47 drain
2012-4-8 899.246 overland
2012-4-8 2.70557 stream
2012-4-8 0 lake
2012-4-9 8252.67 drain
2012-4-9 23771.6 overland
2012-4-9 2.63784 stream
2012-4-9 0 lake
2012-4-10 8349.28 drain
2012-4-10 923.554 overland
2012-4-10 2.76005 stream
2012-4-10 0 lake
2012-4-11 21532.8 drain
2012-4-11 112294 overland
2012-4-11 2.70256 stream
2012-4-11 0 lake
2012-4-12 18565.9 drain
2012-4-12 35380.7 overland
2012-4-12 2.82776 stream
2012-4-12 0 lake
2012-4-13 11659.5 drain
2012-4-13 23744.6 overland
2012-4-13 2.72826 stream
2012-4-13 0 lake
2012-4-14 10812.8 drain
2012-4-14 2487.8 overland
2012-4-14 2.84666 stream
2012-4-14 0 lake
2012-4-15 10276.2 drain
2012-4-15 14358.4 overland
2012-4-15 2.65558 stream
2012-4-15 0 lake
2012-4-16 10591.4 drain
2012-4-16 6660.36 overland
2012-4-16 2.81754 stream
