date value parameter land_use
2012-1-10 0 toDistribute loc3
2012-1-10 0 dailySurplus loc3
2012-1-10 225 availablePoreDepth loc3
2012-1-10 500 EHD loc3
2012-1-10 3781.03 SD loc3
2012-1-10 -4.28103 G loc3
2012-1-10 0.45 theta_EHD loc3
2012-1-10 225 sw_EHD loc3
2012-1-10 0.450357 theta_soil loc3
2012-1-10 0 dsc loc3
2012-1-10 0 infil2 loc2
2012-1-10 0 infil loc2
2012-1-10 0 toDistribute loc2
2012-1-10 0 dailySurplus loc2
2012-1-10 12.5245 availablePoreDepth loc2
2012-1-10 250 EHD loc2
2012-1-10 4233.4 SD loc2
2012-1-10 -4.4834 G loc2
2012-1-10 0.449902 theta_EHD loc2
2012-1-10 112.476 sw_EHD loc2
2012-1-10 0.305159 theta_soil loc2
2012-1-10 0 dsc loc2
2012-1-10 0 infil2 loc1
2012-1-10 0 infil loc1
2012-1-10 0 toDistribute loc1
2012-1-10 0 dailySurplus loc1
2012-1-10 7.75309 availablePoreDepth loc1
2012-1-10 133.333 EHD loc1
2012-1-10 3785.3 SD loc1
2012-1-10 -3.91863 G loc1
2012-1-10 0.393852 theta_EHD loc1
2012-1-10 52.5134 sw_EHD loc1
2012-1-10 0.343077 theta_soil loc1
2012-1-10 0.441393 dsc loc1
2012-1-11 0 infil2 loc3
2012-1-11 0.989745 Qd loc3
2012-1-11 0 infil loc3
2012-1-11 0 toDistribute loc3
2012-1-11 0 dailySurplus loc3
2012-1-11 225 availablePoreDepth loc3
2012-1-11 500 EHD loc3
2012-1-11 3781.1 SD loc3
2012-1-11 -4.28011 G loc3
2012-1-11 0.45 theta_EHD loc3
2012-1-11 225 sw_EHD loc3
2012-1-11 0.450087 theta_soil loc3
2012-1-11 0 dsc loc3
2012-1-11 0 infil2 loc2
2012-1-11 0 infil loc2
2012-1-11 0 toDistribute loc2
2012-1-11 0 dailySurplus loc2
2012-1-11 12.5245 availablePoreDepth loc2
2012-1-11 250 EHD loc2
2012-1-11 4269.34 SD loc2
2012-1-11 -4.51934 G loc2
2012-1-11 0.449902 theta_EHD loc2
2012-1-11 112.476 sw_EHD loc2
2012-1-11 0.30259 theta_soil loc2
2012-1-11 0 dsc loc2
2012-1-11 1.09679 infil2 loc1
2012-1-11 0 infil loc1
2012-1-11 0 toDistribute loc1
2012-1-11 0 dailySurplus loc1
